exposure,health_outcome,article_count,positive,negative,null,mixed,unclear
black carbon,pregnancy outcomes,4,0,0,0,0,0
green space/greenness,birth weight,4,0,0,0,0,0
lead,birth weight,4,0,0,0,0,0
lead,immune/inflammation,4,0,0,0,0,0
lead,maternal blood pressure,4,0,0,0,0,0
lead,preterm birth,4,0,0,0,0,0
mercury,cardiovascular,4,0,0,0,0,0
nitrogen dioxide (NO2),autism spectrum disorder,4,0,0,0,0,0
nitrogen dioxide (NO2),cognition,4,0,0,0,0,0
nitrogen dioxide (NO2),fertility,4,0,0,0,0,0
noise,asthma,4,0,0,0,0,0
ozone (O3),birth weight/fetal growth,4,0,0,0,0,0
particulate matter,cell viability,4,0,0,0,0,0
phthalate,asthma,4,0,0,0,0,0
wildfire smoke,preterm birth,4,0,0,0,0,0
PFAS,major adverse kidney events,3,0,0,0,0,0
PFOA,immune/inflammation,3,0,0,0,0,0
PFOS,autism spectrum disorder,3,0,0,0,0,0
PFOS,fertility,3,0,0,0,0,0
PFOS,immune,3,0,0,0,0,0
PFOS,immune/inflammation,3,0,0,0,0,0
PFOS,kidney,3,0,0,0,0,0
PFOS,neurodevelopment,3,0,0,0,0,0
PM2.5,liver,3,0,0,0,0,0
PM2.5,major adverse kidney events,3,0,0,0,0,0
air pollution,cognition,3,0,0,0,0,0
arsenic,cardiovascular,3,0,0,0,0,0
black carbon,autism spectrum disorder,3,0,0,0,0,0
black carbon,cancer,3,0,0,0,0,0
cadmium,maternal blood pressure,3,0,0,0,0,0
green space/greenness,cardiovascular mortality,3,0,0,0,0,0
heat/temperature,autism spectrum disorder,3,0,0,0,0,0
heat/temperature,major adverse kidney events,3,0,0,0,0,0
nanoplastics,cardiovascular,3,0,0,0,0,0
nitrogen dioxide (NO2),major adverse kidney events,3,0,0,0,0,0
noise,respiratory,3,0,0,0,0,0
ozone (O3),all-cause mortality,3,0,0,0,0,0
ozone (O3),cardiovascular disease mortality,3,0,0,0,0,0
ozone (O3),reproductive,3,0,0,0,0,0
particulate matter,cognition,3,0,0,0,0,0
phthalate,cancer,3,0,0,0,0,0
phthalate,cardiovascular,3,0,0,0,0,0
urban tree canopy,asthma,3,0,0,0,0,0
PFAS,apoptosis-related signaling,2,0,0,0,0,0
PFAS,coronary inflammation / pericoronary fat attenuation index,2,0,0,0,0,0
PFOA,kidney,2,0,0,0,0,0
PFOA,mortality,2,0,0,0,0,0
PFOS,hypertension,2,0,0,0,0,0
PFOS,mortality,2,0,0,0,0,0
PM10,cardiovascular disease mortality,2,0,0,0,0,0
PM10,kidney,2,0,0,0,0,0
PM10,neurodevelopment,2,0,0,0,0,0
PM10,reproductive,2,0,0,0,0,0
PM2.5,cell viability,2,0,0,0,0,0
PM2.5,cellular toxicity / mechanistic outcome,2,0,0,0,0,0
arsenic,asthma,2,0,0,0,0,0
arsenic,birth weight,2,0,0,0,0,0
arsenic,kidney,2,0,0,0,0,0
black carbon,birth weight/fetal growth,2,0,0,0,0,0
black carbon,cardiovascular disease mortality,2,0,0,0,0,0
black carbon,reproductive,2,0,0,0,0,0
black carbon,thyroid,2,0,0,0,0,0
cadmium,birth weight,2,0,0,0,0,0
green space/greenness,birth weight/fetal growth,2,0,0,0,0,0
green space/greenness,maternal blood pressure,2,0,0,0,0,0
green space/greenness,respiratory,2,0,0,0,0,0
heat/temperature,cancer,2,0,0,0,0,0
heat/temperature,maternal/child health,2,0,0,0,0,0
lead,birth weight/fetal growth,2,0,0,0,0,0
lead,fertility,2,0,0,0,0,0
lead,neurodevelopment,2,0,0,0,0,0
lead,reproductive,2,0,0,0,0,0
mercury,maternal blood pressure,2,0,0,0,0,0
